Batsmen,Team,Batting Style,Bowling Style,Playing Role,Image,Description
Ashwin Vinod,Switzerland,Right hand Bat,Right arm Medium fast,Switzerland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/341000/341085.png",
Nicolas Henderson,Switzerland,Right hand Bat,Switzerland,Switzerland,,
Amit Halbhavi,Luxembourg,Right hand Bat,Luxembourg,Luxembourg,,
Advyth Manepalli,Luxembourg,Right hand Bat,Luxembourg,Luxembourg,,
Ankush Nanda,Luxembourg,Right hand Bat,Right arm Medium fast,Luxembourg,,
Amit Dhingra,Luxembourg,Right hand Bat,Right arm Medium fast,Luxembourg,,
Vaseekaran Aritharan,Germany,Right hand Bat,Right arm Medium,Germany,,
Faseeh Choudary,Sweden,Right hand Bat,Sweden Under-19s,Sweden Under-19s,,
Maqsood Ahmad,Belgium,Right hand Bat,Right arm Medium,Belgium,,
Burhan Niaz,Belgium,Right hand Bat,Right arm Medium fast,Belgium Under-19s,,
Murid Ekrami,Belgium,Left hand Bat,Slow Left arm Orthodox,Belgium,,
Mohammad Sajad Ahmadzai,Belgium,Right hand Bat,Right arm Medium,Belgium,,
Jitesh Patel,Malta,Left hand Bat,Left arm Medium,Umpire,,
Tadiwanashe Marumani,Zimbabwe,Left hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/348500/348591.png",
Axar Rajeshbhai Patel,India,Akshar Patel,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/331100/331164.png","Left-arm spinner Axar Patel has been increasingly handy with the bat in the lower order across formats - enough to be classified as a bowling allrounder. He played just one first-class game in his debut season for Gujarat, but had a more successful showing in 2013, when he was one of the key contributors to India Under-23s' title win in the ACC Emerging Teams Cup, with seven wickets, including a four-for in the semi-final against UAE. He was consistent for Gujarat with bat and ball in the Ranji Trophy that season, finishing with 369 runs at an average of 46.12 and 29 wickets at 23.58."
Reeza Raphael Hendricks,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322071.png","Reeza Hendricks has fashioned a reputation as a destructive T20 opener, with crisp shot-making, particularly through the covers, and one adept at pacing a knock and scoring quickly at either end of an innings. "
Heinrich Klaasen,South Africa,Right hand Bat,Right arm Offbreak,Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322073.png","A clean-hitting, wicketkeeper batsman, Heinrich Klaasen emerged on the scene at the same time that Quinton de Kock nailed down a place in the South African team, across all formats. As someone who had always combined the disciplines of batting and glovework, Klaasen hoped to make it in either skill and establish himself as all-round option, if required."
Wayne Dillon Parnell,South Africa,"Pigeon, Parny",Left hand Bat,Left arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316608.png","An aggressive left-handed seamer, who bowls with as much venom as he bats, Wayne Parnell was earmarked for success early and spent the next few years trying to get there. Inconsistency and injury were his nemeses, however, and that led to him abandoning international cricket with South Africa and signing a three-year deal with Worcestershire as a Kolpak after the 2018 English season."
Kagiso Rabada,South Africa,Left hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320300/320376.png","A strapping, genuine quick who regularly bowls in the 140-150kph range, Kagiso Rabada is the most exciting talent to emerge from South Africa in the post No.1 Test ranking era. Before he had turned 21, Rabada had already established himself as a potential leader of the attack. "
Ihsanullah Janat,Afghanistan,Right hand Bat,Top order Batter,Nawroz Mangal (brother),"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320400/320496.png",
Afsar Khan Zazai,Afghanistan,Right hand Bat,Wicketkeeper,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316682.png","Afsar Zazai's talent as a wicketkeeper-batsman was identified early and he was just 16 years old when he was included in Afghanistan's squad for the 2010 Under-19 World Cup. He'd already been on the age group radar for a while, having played for the Under-17 side at the Asian Cricket Council Challenge Cup, and had assured his place in the Under-19 squad with nine dismissals in six games at the U19 World Cup qualifiers in 2009. A developing talent, he went to his second Youth World Cup in 2012, the same year he made his First Class debut for the full Afghan national side in the Intercontinental Cup."
Sharafuddin Ashraf,Afghanistan,Right hand Bat,Slow Left arm Orthodox,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320500/320508.png","Sharafuddin Ashraf is a left-arm spinner with a knack for taking vital top-order wickets. He was part of the Afghanistan under-19 side that beat Australia and Sri Lanka at the 2014 Youth World Cup, and was rewarded with a place in the squad to tour Zimbabwe later that year. "
Noor Ahmad Lakanwal,Afghanistan,Right hand Bat,Left arm Wrist spin,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322100/322161.png",
Nijat Masood,Afghanistan,Right hand Bat,Right arm Medium,Bowler,,
Clive Madande,Zimbabwe,Right hand Bat,Wicketkeeper,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/348500/348595.png",
Keshav Athmanand Maharaj,South Africa,Right hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322072.png","A left-arm spinner from Northwood Boys High, the alma mater of Shaun Pollock, Keshav Maharaj emerged at a time when South Africa began to take spin seriously. For several seasons in the mid 2010s, spinners were among the leading wicket-takers in South Africa's first-class competition. Maharaj was among them in the 2014-15 and 2015-16 seasons and was rewarded with an international call-up the following summer."
Anrich Arno Nortje,South Africa,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322080.png","Anrich Nortje is a genuine quick who has been described as ""extremely exciting"" by none other than Dale Steyn. Like Steyn, Nortje is not a product of a big city but comes from the town of Uitenhage, north of Port Elizabeth, which is home to the largest Volkswagen factory in the African continent. It's hardly surprising then, that Nortje is well-acquainted with speed. He regularly sends the speed gun over 150kph and has a fearsome bouncer. "
Tabraiz Shamsi,South Africa,Right hand Bat,Left arm Wrist spin,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322068.png","A left-arm wristspin bowler with ample variations and a good googly, Tabraiz Shamsi emerged as South Africa were starting to warm to the wave of spinners being produced at domestic levels, although it took a while for him to come through. "
Marco Jansen,South Africa,Right hand Bat,Left arm Fast,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/337100/337189.png","At 2.06 metres tall, Marco Jansen's height immediately marks him out as a fast bowler but he began his cricket career as a batter. Jansen's first coach was his father, Koos, who trained both him and his twin brother Duan in their home town of Potchefstroom. At the age of 17, the pair were picked to bowl to the touring Indian side in the nets and impressed the likes of Virat Kohli with his pace and accuracy. "
Lungisani True-man Ngidi,South Africa,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322069.png","A tall, imposing paceman, Lungi Ngidi can reach speeds in the 140s kph and is as comfortable opening the bowling as he is at the death, making him one of South Africa's most promising prospects. Ngidi was schooled at Kwa-Zulu Natal's Hilton College and was involved at every provincial age-group level from Under-13 upwards. "
Muhammad Ziaur Rehman,Finland,Finland,Finland,,,
Maidul Islam,Estonia,Right hand Bat,Right arm Offbreak,Estonia,,
Habib Khan,Estonia,Right hand Bat,Right arm Medium,Estonia,,
Arslan Amjad,Estonia,Right hand Bat,Right arm Medium,Estonia,,
Marko Vaik,Estonia,Right hand Bat,Wicketkeeper,Estonia,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/146500/146580.1.jpg",
Stuart Hook,Estonia,Right hand Bat,Legbreak,Top order Batter,,
Vimal Dwivedi,Estonia,Right hand Bat,Right arm Offbreak,Estonia,,
MD Shoyaib,Estonia,Right hand Bat,Right arm Offbreak,Estonia,,
Murali MR Obili,Estonia,Right hand Bat,Right arm Fast,Estonia,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/146500/146577.1.jpg",
Elias Hasan,Estonia,Right hand Bat,Right arm Medium,Estonia,,
Robin Luka Vitas,Serbia,Right hand Bat,Right arm Offbreak,Serbia,,
Wintley Aljean Etienne Burton,Serbia,Right hand Bat,Right arm Medium fast,Serbia,,
Leslie Adrian Dunbar,Serbia,Right hand Bat,Wicketkeeper,Serbia,,
Ayo Mene-Ejegi,Serbia,Right hand Bat,Right arm Medium,Serbia,,
Matthew Luke Kostic,Serbia,Right hand Bat,Right arm Medium,Serbia,,
Nemanja Zimonjic,Serbia,Right hand Bat,Right arm Medium,Serbia,,
Nicholas Raymond Johns-Wickberg,Serbia,Right hand Bat,Right arm Medium fast,Serbia,,
Vukasin Zimonjic,Serbia,Right hand Bat,Right arm Medium fast,Bowler,,
Mukul Kadyan,Bulgaria,Right hand Bat,Right arm Medium fast,Bulgaria,,
Alexander Dizija,Serbia,Alex Dizija,Right hand Bat,Right arm Offbreak,,
Slobodan Tosic,Serbia,Right hand Bat,Right arm Offbreak,Serbia,,
Fayaz Mohammad,Bulgaria,Right hand Bat,Right arm Medium fast,Bulgaria,,
Philip Andrew Raikes,Gibraltar,Right hand Bat,M Raikes (brother),M Raikes,,
Kayron J Stagno,Gibraltar,Right hand Bat,Right arm Offbreak,Gibraltar,,
Iain DM Latin,Gibraltar,Right hand Bat,Legbreak,Gibraltar,,
Julian D Freyone,Gibraltar,Right hand Bat,Right arm Medium,Gibraltar,,
Khizar Hayat Durrani,Malaysia,Right hand Bat,Right arm Offbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/187400/187461.jpg",
Aritra Dutta,Singapore,Right hand Bat,Top order Batter,Singapore,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/280100/280117.1.jpg",
Surendran Chandramohan,Singapore,Right hand Bat,Top order Batter,Singapore,,
Rezza Gaznavi,Singapore,Right hand Bat,Legbreak,Batter,,
Navin Michael S Param,Singapore,Right hand Bat,Right arm Offbreak,Singapore Under-16s,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/115700/115763.1.jpg",
Manpreet Singh,Singapore,Right hand Bat,Right arm Offbreak,Wicketkeeper,,
Janak Prakash,Singapore,Right hand Bat,Right arm Medium,Allrounder,,
Aryaman Sunil Uchil,Singapore,Right hand Bat,Right arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/280100/280119.1.jpg",
Amjad Mahboob,Singapore,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/280100/280114.1.jpg",
Nicolaj Damgaard Laegsgaard,Denmark,Nicolaj Jorgensen,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/275700/275797.1.jpg",
Kuldeep Gholiya,Portugal,Right hand Bat,Wicketkeeper,Portugal,,
Azhar Andani,Portugal,Right hand Bat,Right arm Medium fast,Portugal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/337000/337049.png",
Najjam Shahzad,Portugal,Portugal,Portugal,,,
Francoise Stoman,Portugal,Portugal,Portugal,,,
Amir Zaib,Portugal,Right hand Bat,Right arm Medium fast,Portugal,,
Anthony Robert Andersen Chambers,Portugal,Right hand Bat,Right arm Medium fast,Portugal,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/326800/326821.1.png",
Amandeep Singh,Portugal,Right hand Bat,Right arm Offbreak,Allrounder,,
Md Fakhrul Hussain Mohon,Portugal,Bowler,Portugal,Portugal,,
Syed Maisam Ali,Portugal,Right hand Bat,Right arm Medium,Portugal,,
Sirajullah Khadim,Portugal,Nipu,Left hand Bat,Left arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/67400/67476.1.jpg",
Eitamar Kahamker,Israel,Israel,Israel,,,
Josh Evans,Israel,Right hand Bat,Legbreak,Israel,,
Abraham Amado,Israel,Right hand Bat,Right arm Medium,Israel,,
Eshkol Solomon,Israel,Right hand Bat,Right arm Medium,Israel,,
Yair Nagavkar,Israel,Right hand Bat,Right arm Offbreak,Allrounder,,
Gabriel Schachat,Israel,Right hand Bat,Right arm Medium fast,Israel,,
Shailesh Bangera,Israel,Right hand Bat,Wicketkeeper,Israel,,
Michael Cohen,Israel,Right hand Bat,Wicketkeeper,Israel Under-19s,,
Bhuvneshwar Kumar Singh,India,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316658.png","At the time of his India debut in 2012, Bhuvneshwar Kumar seemed the answer to the side's fast-bowling scarcity; though middling in pace, he produced swing both ways and had a devastating inswinger. In his first T20I over, he bowled Nasir Jamshed; with his first ODI delivery, he bowled Mohammad Hafeez; and in his first Test series he played a part in India's first whitewash win in a four-Test series, against Australia in 2013. "
Oliver Damgaard Hald   ,Denmark,Left hand Bat,Left arm Medium,Denmark,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/292400/292489.1.jpg",
Ian M Farrell,Gibraltar,Right hand Bat,Right arm Medium fast,Gibraltar,,
James Andrew Fitzgerald,Gibraltar,Right hand Bat,Right arm Medium fast,Gibraltar,,
Sharn Patrick Gomes,Portugal,Left hand Bat,Slow Left arm Orthodox,Rondebosch High School,,
Rana Zohaib Sarwar,Portugal,Right hand Bat,Right arm Medium fast,Portugal,,
Ali Raza,Belgium,Right hand Bat,Wicketkeeper,Belgium,,
Niv Nagavkar,Israel,Right hand Bat,Left arm Medium,Allrounder,,
Eliezar Samson,Israel,Right hand Bat,Right arm Medium fast,Israel,,
Tomer Kahamker,Israel,Right hand Bat,Right arm Medium,Allrounder,,
Rohan Rangarajan,Singapore,Right hand Bat,Right arm Offbreak,Batter,,
Aman Desai,Singapore,Left hand Bat,Wicketkeeper,Middle order Batter,,
Vinoth Baskaran,Singapore,Left hand Bat,Slow Left arm Orthodox,Bowler,,
Imran Khan,Portugal,Portugal,Portugal,,,
Junaid Khan,Portugal,Right hand Bat,Right arm Medium fast,Portugal,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/326800/326822.1.png",
Omar Hayat,Denmark,Right hand Bat,Right arm Offbreak,Denmark A,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/254600/254655.1.jpg",
Saud Munir ,Denmark,Denmark Under-19s,Denmark Under-19s,,,
Yogev Nagavkar,Israel,Right hand Bat,Right arm Medium,Israel,,
Mohamad Nazril Abdul Rahman,Malaysia,Right hand Bat,Right arm Medium,Malaysia,,
Namgay Thinley,Bhutan,,,,,
Jigme Singye,Bhutan,Right hand Bat,Legbreak,Bhutan,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/187300/187363.1.jpg",
Thinley Jamtsho,Bhutan,Right hand Bat,Right arm Medium fast,Bhutan,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/141000/141000.1.jpg",
Namgang Chejay,Bhutan,Right hand Bat,Wicketkeeper,Bhutan Under-19s,,
Gakul Kumar Ghalley,Bhutan,,,,,
Ranjung Mikyo Dorji,Bhutan,Right hand Bat,Right arm Medium,Bhutan,,
Suprit Pradhan,Bhutan,Right hand Bat,Right arm Medium fast,Bhutan,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/141000/141002.1.jpg",
Manoj Adhikari,Bhutan,Right hand Bat,Wicketkeeper,Bhutan,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/146000/146080.1.jpg",
Tenzin Wangchuk,Bhutan,Right hand Bat,Right arm Medium,Bhutan,,
Ngawang Thinley,Bhutan,,,,,
Fahim Muhammad Bhatti,Belgium,Right hand Bat,Right arm Medium,Belgium,,
Arjun Mutreja,Singapore,Right hand Bat,Right arm Offbreak,"Nanyang Technological University, Singapore","https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/280100/280118.1.jpg",
Damien Apa Ravu,Papua New Guinea,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321100/321140.png",
Hila George Vaieke Vare,Papua New Guinea,Left hand Bat,Wicketkeeper,Papua New Guinea Under-19s,,
Shangeev Thanikaithasan  ,Denmark,Right hand Bat,Legbreak Googly,Denmark Under-19s,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/275700/275798.1.jpg",
Atif Ali Mehmood,Spain,Right hand Bat,Left arm Medium fast,Spain,,
Sorawat Desungnoen,Thailand,Right hand Bat,Right arm Offbreak,Thailand,,
Narawit Nuntarach,Thailand,Thailand Under-19s,Thailand Under-19s,,,
